x	f(x)	f'(x)	f'(x) FD	f''(x)	f''(x) FD
1.00	0.367879	-0.367879	-0.073080	0.367879	0.014518
6.00	0.002479	-0.002479	-0.000492	0.002479	0.000098
11.00	0.000017	-0.000017	-0.000003	0.000017	0.000001
16.00	0.000000	-0.000000	-0.000000	0.000000	0.000000
21.00	0.000000	-0.000000	-0.000000	0.000000	0.000000
26.00	0.000000	-0.000000	-0.000000	0.000000	0.000000
31.00	0.000000	-0.000000	-0.000000	0.000000	0.000000
36.00	0.000000	-0.000000	-0.000000	0.000000	0.000000
41.00	0.000000	-0.000000	-0.000000	0.000000	0.000000
46.00	0.000000	-0.000000	-0.000000	0.000000	0.000000
